도서명,ISBN,대출건수
(대하역사만화) 박시백의 조선왕조실록,9788958620396,31311
토지,9788960532410,22044
삼국지,9788955708738,20335
(대하역사만화) 박시백의 조선왕조실록,9788958620358,17539
크레파스 미술동화 ,9788965092759,15806
정글만리 ,9788965744023,15542
(Discovery education) 맛있는 과학 ,9788934952558,13845
토지 ,9788957073636,11697
(趙廷來 大河小說) 太白山脈,9788973377947,10545
삼성과학학습만화 ,9788915073104,9975
Why? people 세종대왕 ,9788930232197,9548
Why? 왕비이야기 ,9788930232517,9205
Why? 프랑스 ,9788930200974,9030
Why? 조선전기 ,9788930232333,8930
Why? people 스티븐 호킹 ,9788930232159,8385
Why? 영화 ,9788930231497,8000
Why? 화폐와 경제 ,9788930231374,7994
Why? 오페라와 뮤지컬 ,9788930231527,7791
Why? 발표력 ,9788930231503,7667
Why? 삼국유사 ,9788930201407,7579
나미야 잡화점의 기적 ,9788972756194,7557
Why? 미술 ,9788930231398,7535
Why? 이탈리아 ,9788930200967,7527
Why? 국제기구 ,9788930231596,7496
Why? 집과 건축 ,9788930231480,7291
Why? people 마거릿 대처 ,9788930232258,7202
리틀생활과학그림책,9788954824750,7049
Why? people 오프라 윈프리 ,9788930232180,6993
Why? people 스티브 잡스 ,9788930232210,6968
Why? 정치 ,9788930231459,6851
Why? 미국 ,9788930200929,6648
마법천자문,9788950952655,6486
Why? 고대문명 ,9788930231404,6408
Why? 승자와 패자 ,9788930232401,6385
Why? 漢字 이야기 ,9788930231510,6382
Why? 외계인과 UFO ,9788930202527,6301
Why? people 제인 구달 ,9788930232241,6239
Why? 독일 ,9788930200950,5940
오십 빛깔 우리 것 우리 얘기,9788927801108,5781
Why? 언어와 문자 ,9788930231343,5770
7년의 밤 ,9788956604992,5470
수호지,9788961682688,5446
과학공화국 수학법정,9788954402606,5390
Why? 명재상과 충신 ,9788930232487,5298
과학은 단짝친구,9788925868943,5285
책 먹는 여우,9788934908067,5204
Why? 해부학 ,9788930206778,4894
Why? 음식과 요리 ,9788930231541,4859
마법의 설탕 두 조각 ,9788935652792,4807
미생 ,9788960865563,4621
Why? 심리학 ,9788930231428,4620
창문 넘어 도망친 100세 노인 ,9788932916194,4572
미생 ,9788960865594,4500
Why? 신분과 직업 ,9788930232494,4473
Why? 생활과학 ,9788930202763,4448
Stop! ,9788949152752,4444
역사문화 발전소,9788994749099,4424
Why? 과학사건 ,9788930202794,4403
Why? 응급처치 ,9788930202633,4374
Why? 바다 ,9788930202329,4361
Why? 식품과 영양 ,9788930202688,4340
why? 신화와 전설 ,9788930232470,4339
Why? 사춘기와 성 ,9788930202428,4333
살인자의 기억법 ,9788954622035,4321
신과 함께 ,9788959194988,4298
신과 함께 ,9788959194995,4286
Why? 옷과 패션 ,9788930231435,4283
Why? 컴퓨터 ,9788930202336,4270
신과 함께 ,9788959195008,4239
Why? 공룡 ,9788930202435,4214
Why? 똥 ,9788930202497,4207
Why? 과학수사 ,9788930206723,4205
미생 ,9788960865723,4177
Why? 장수풍뎅이와 사슴벌레 ,9788930202732,4163
Why? 유전과 혈액형 ,9788930202725,4161
Why? 수와 수학 ,9788930231466,4155
Why? 일본 ,9788930200936,4137
Why? 우정과 경쟁 ,9788930232524,4074
Why? 왕자와공주 ,9788930232418,4073
Why? 공생과 천적 ,9788930206747,4060
Why? 암석과 광물 ,9788930206754,4053
Why? 실험관찰 ,9788930202701,4039
Why? 독 있는 동식물 ,9788930202558,4031
Why? 전쟁 ,9788930232388,4029
Why? 남극·북극 ,9788930202480,4018
Why? 스포츠과학 ,9788930202626,4011
Why? 쫓겨난 임금 ,9788930232432,3999
(EBS) 모여라 딩동댕,9788998351014,3983
여덟 단어 ,9788956056531,3934
Why? 음악 ,9788930231367,3933
미 비포 유 ,9788952227829,3930
Why? 불과 연소 ,9788930206730,3899
Why? 미래과학 ,9788930202718,3899
1Q84 ,9788954608640,3888
Why? 목민심서 ,9788930201483,3871
Why? 동물 ,9788930202367,3871
Why? 영웅이야기 ,9788930232449,3871
미생 ,9788960865815,3849
"총, 균, 쇠 ",9788970128856,3844
양파의 왕따 일기 ,9788970572529,3836
